Categories,Public Utilities,Transportation,Parks & Recreation,Stormwater,Environmental Services,Citywide,Fire-Rescue,General Services,Department of Information Technology,Library,Airport Management,Sustainability & Mobility,Police,Homelessness Strategies and Solutions,Real Estate Assets
2010-11 Adopted CIP Budget,238129776,31208301,16476517,2347304,4175000,750000,550000,3500000,0,233000,1800000,0,0,0,450000
2011-12 Adopted CIP Budget,145665863,35111076,5899292,2124918,5463000,1531029,4700000,590090,900000,700000,3410510,0,1855949,0,100000
2012-13 Adopted CIP Budget,161603623,24554604,10655030,5397000,2778000,2918086,1000000,711000,1100000,0,2400000,1800000,0,0,0
2013-14 Adopted CIP Budget,113186166,38873751,18235407,0,605000,7605000,200000,0,0,1135000,2400000,200000,0,0,0
2014-15 Adopted CIP Budget,205950915,43629977,30443870,3350000,7716922,7636000,8725000,928339,0,1591767,0,0,0,0,0
2015-16 Adopted CIP Budget,234895059,38756521,37356703,6055361,900000,8539431,26393081,5264086,0,4331000,0,0,5145132,0,0
2016-17 Adopted CIP Budget,332014057,38224174,15124096,6825000,1720000,23459630,850000,250000,0,155605,0,300000,2073923,0,0
2017-18 Adopted CIP Budget,370717958,26247509,44650524,8007560,14230000,3395240,1000000,4800000,0,2594482,0,0,0,0,0
2018-19 Adopted CIP Budget,468851792,61597129,12255940,0,4000000,5800000,0,2975000,3174479,200000,0,0,0,0,0
2019-20 Adopted CIP Budget,644258637,35167302,19527951,2916667,3550000,1000000,0,3335098,258000,798500,0,0,0,0,0
2020-21 Adopted CIP Budget,285899599,56162249,14022000,1000000,0,1073165,0,875000,8452531,0,0,0,0,0,0
2021-22 Adopted CIP Budget,707984297,48514953,19751590,2000000,5586000,0,2500000,1161801,395000,550000,0,1082000,0,0,0
2022-23 Adopted CIP Budget,683488478,55690595,37768526,27078120,9300000,1000000,2350000,6245784,6409288,1500000,700000,2547500,0,0,0
2023-24 Adopted CIP Budget,408182672,160144688,56964631,41121747,10400000,500000,250000,5712800,6831563,9392723,4614497,0,0,0,0
2024-25 Proposed CIP Budget,572191202,143271144,35573273,88354837,9400000,0,2750000,8303009,3760000,745450,0,3844740,0,3700000,0
