Categories,2010-11 Adopted CIP Budget,2011-12 Adopted CIP Budget,2012-13 Adopted CIP Budget,2013-14 Adopted CIP Budget,2014-15 Adopted CIP Budget,2015-16 Adopted CIP Budget,2016-17 Adopted CIP Budget,2017-18 Adopted CIP Budget,2018-19 Adopted CIP Budget,2019-20 Adopted CIP Budget,2020-21 Adopted CIP Budget,2021-22 Adopted CIP Budget,2022-23 Adopted CIP Budget,2023-24 Adopted CIP Budget,2024-25 Proposed CIP Budget
Public Utilities,238129776,145665863,161603623,113186166,205950915,234895059,332014057,370717958,468851792,644258637,285899599,707984297,683488478,408182672,572191202
Transportation,31208301,35111076,24554604,38873751,43629977,38756521,38224174,26247509,61597129,35167302,56162249,48514953,55690595,160144688,143271144
Parks & Recreation,16476517,5899292,10655030,18235407,30443870,37356703,15124096,44650524,12255940,19527951,14022000,19751590,37768526,56964631,35573273
Stormwater,2347304,2124918,5397000,0,3350000,6055361,6825000,8007560,0,2916667,1000000,2000000,27078120,41121747,88354837
Environmental Services,4175000,5463000,2778000,605000,7716922,900000,1720000,14230000,4000000,3550000,0,5586000,9300000,10400000,9400000
Citywide,750000,1531029,2918086,7605000,7636000,8539431,23459630,3395240,5800000,1000000,1073165,0,1000000,500000,0
Fire-Rescue,550000,4700000,1000000,200000,8725000,26393081,850000,1000000,0,0,0,2500000,2350000,250000,2750000
General Services,3500000,590090,711000,0,928339,5264086,250000,4800000,2975000,3335098,875000,1161801,6245784,5712800,8303009
Department of Information Technology,0,900000,1100000,0,0,0,0,0,3174479,258000,8452531,395000,6409288,6831563,3760000
Library,233000,700000,0,1135000,1591767,4331000,155605,2594482,200000,798500,0,550000,1500000,9392723,745450
Airport Management,1800000,3410510,2400000,2400000,0,0,0,0,0,0,0,0,700000,4614497,0
Sustainability & Mobility,0,0,1800000,200000,0,0,300000,0,0,0,0,1082000,2547500,0,3844740
Police,0,1855949,0,0,0,5145132,2073923,0,0,0,0,0,0,0,0
Homelessness Strategies and Solutions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3700000
Real Estate Assets,450000,100000,0,0,0,0,0,0,0,0,0,0,0,0,0
