Categories,2010-11 Adopted CIP Budget,2011-12 Adopted CIP Budget,2012-13 Adopted CIP Budget,2013-14 Adopted CIP Budget,2014-15 Adopted CIP Budget,2015-16 Adopted CIP Budget,2016-17 Adopted CIP Budget,2017-18 Adopted CIP Budget,2018-19 Adopted CIP Budget,2019-20 Adopted CIP Budget,2020-21 Adopted CIP Budget,2021-22 Adopted CIP Budget,2022-23 Adopted CIP Budget,2023-24 Adopted CIP Budget,2024-25 Proposed CIP Budget
Drainage Projects,185304,1325000,1107000,0,2850000,1675000,2825000,6507560,0,2666667,1000000,2000000,14750000,24055164,80431409
Watershed CIP,1300000,799918,4290000,0,500000,4380361,4000000,0,0,0,0,0,8845265,1970990,7423428
Pump Station G & 17 Full Improvement,0,0,0,0,0,0,0,0,0,0,0,0,0,6000000,0
Carmel Country Road Low Flow Channel,712000,0,0,0,0,0,0,0,0,0,0,0,0,5015499,0
Sunshine & Bernardini Restoration,0,0,0,0,0,0,0,0,0,0,0,0,0,4080094,0
Pump Station D Upgrade,0,0,0,0,0,0,0,0,0,0,0,0,2500000,0,0
Avenida de la Playa Infrastructure-SD,0,0,0,0,0,0,0,1500000,0,0,0,0,0,0,0
Chollas Creek Restoration 54th St & Euclid Ave,0,0,0,0,0,0,0,0,0,0,0,0,982855,0,0
Pump Station C Assessment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000
Maple Canyon Storm Drain Upgrade,0,0,0,0,0,0,0,0,0,250000,0,0,0,0,0
Hayes Ave Storm Drain,75000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coolidge Street Storm Drain,75000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
